,text
80,"b'Now that they realize the only Collusion with Russia was done by Crooked Hillary Clinton &amp; the Democrats, Nadler, S\xe2\x80\xa6 https://t.co/PjT0OqusGh'"
81,b'@StarParker is indeed a \xe2\x80\x9cStar!\xe2\x80\x9d Thank you. Center for Urban Renewal &amp; Ed. @JesseBWatters @LauraIngram'
82,b'Representative Ilhan Omar is again under fire for her terrible comments concerning Israel. Jewish groups have just\xe2\x80\xa6 https://t.co/FC0FH7J9c7'
83,b'\xe2\x80\x9cWe the people will now be subjected to the biggest display of modern day McCarthyism....which is the widest fishin\xe2\x80\xa6 https://t.co/JY3fA0tum2'
84,"b'RT @JudicialWatch: Right now, our borders are being used as gateways for drug cartels &amp; violent criminals \xe2\x80\x93 each day adding to the millions\xe2\x80\xa6'"
85,"b'.... Amazon, like the Washington Post. It\xe2\x80\x99s hard to remember that not so long ago America had prestige media outlet\xe2\x80\xa6 https://t.co/l4dAqRDkxh'"
86,b'\xe2\x80\x9cThe American Media has changed forever. News organizations that seemed like a big deal are now extinct.  Those tha\xe2\x80\xa6 https://t.co/PBU9EDDLsG'
87,b'Presidential Harassment! https://t.co/2Cz5ckERcs'
88,"b'RT @WhiteHouse: President Trump\'s message to those affected by the tornadoes in the Gulf states: ""We grieve by your side and we pledge our\xe2\x80\xa6'"
89,b'\xe2\x80\x9cThere is no Collusion. All of these investigations are in search of a crime. Democrats have no evidence to impeach\xe2\x80\xa6 https://t.co/sZAm4Nc8on'
90,"b'\xe2\x80\x9cNow that the Dems are going to try &amp; switch from Collusion to some other reason, it makes them continue to look li\xe2\x80\xa6 https://t.co/Q2M8FCvXlX'"
91,"b'The military drills, or war games as I call them, were never even discussed in my mtg w/ Kim Jong Un of NK\xe2\x80\x94FAKE NEW\xe2\x80\xa6 https://t.co/B1vymrEEwk'"
92,b'FEMA has been told directly by me to give the A Plus treatment to the Great State of Alabama and the wonderful peop\xe2\x80\xa6 https://t.co/ND74foK7ki'
93,b'RT @GOPChairwoman: I completely agree with Kevin McCarthy.\xe2\x80\xa6'
94,b'To the great people of Alabama and surrounding areas: Please be careful and safe. Tornadoes and storms were truly v\xe2\x80\xa6 https://t.co/b207p6xbrT'
95,b'And also illegally leaking to Fake News CNN &amp; others? https://t.co/GAItdhWniB'
96,b'Schumer &amp; the Democrats are hurting our Country. Senate Republicans must take BOLD ACTION! https://t.co/QFqCaYmVPJ'
97,"b'RT @MZHemingway: Man, conservatives haven\xe2\x80\x99t been this united on Twitter since the Kavanaugh confirmation!'"
98,b'RT @ChatByCC: @realDonaldTrump President Trump made America great again! #MAGA \n\nNow it\xe2\x80\x99s up to us to help him keep America great. #KAG\n\n#T\xe2\x80\xa6'
99,"b'RT @rcale1776: Jon Stewart \xe2\x80\x9cListen up everybody, the Trump Justice Dept is doing an excellent job administrating the 911 compensation act\xe2\x80\x9d\xe2\x80\xa6'"
100,"b'For the Democrats to interview in open hearings a convicted liar &amp; fraudster, at the same time as the very importan\xe2\x80\xa6 https://t.co/Ef6jh3BDR3'"
101,"b'....President. We are WINNING big, the envy of the WORLD, but just think what it could be?'"
102,"b'Presidential Harassment by \xe2\x80\x9ccrazed\xe2\x80\x9d Democrats at the highest level in the history of our Country. Likewise, the mos\xe2\x80\xa6 https://t.co/Fc1hRFAZzz'"
103,b'The reason I do not want military drills with South Korea is to save hundreds of millions of dollars for the U.S. f\xe2\x80\xa6 https://t.co/ETpO9DGEHm'
104,"b'My wonderful daughter, Ivanka, will be interviewed tonight by Steve Hilton on \xe2\x80\x9cThe Next Revolution.\xe2\x80\x9d @FoxNews 9:00\xe2\x80\xa6 https://t.co/nPfvBjzHEY'"
105,b'\xe2\x80\x9cLook how they\xe2\x80\x99re acting now and how we act when we\xe2\x80\x99re in the majority. What the Democrats are doing is an abuse of\xe2\x80\xa6 https://t.co/7itNecWLVr'
106,"b'After more than two years of Presidential Harassment, the only things that have been proven is that Democrats and o\xe2\x80\xa6 https://t.co/fbKeXoF5G5'"
107,"b'...said was a total lie, but Fake Media won\xe2\x80\x99t show it. I am an innocent man being persecuted by some very bad, conf\xe2\x80\xa6 https://t.co/FJVrHNHCNc'"
108,b'https://t.co/PTLqvZNwqY'
109,b'We\xe2\x80\x99ve got NASA \xe2\x80\x9crocking\xe2\x80\x9d again. Great activity and success. Congrats to SPACEX and all!'
110,b'The brand new manuscript for a new book by failed lawyer Michael Cohen shows his testimony was a total lie! Pundits should only use it.'
111,b'Virtually everything failed lawyer Michael Cohen said in his sworn testimony last week is totally contradicted in h\xe2\x80\xa6 https://t.co/U2FKnVeFA9'
112,b'Thank you @marklevinshow!\nhttps://t.co/dwQR11genG'
113,"b'@TeamCavuto  It was a 3 day train ride to Vietnam, not 3 hours!'"
114,b'RT @realDonaldTrump: 93% Approval Rating in the Republican Party. 52% Approval Rating overall! Not bad considering I get the most unfair (B\xe2\x80\xa6'
115,b'RT @realDonaldTrump: I hope our great Republican Senators don\xe2\x80\x99t get led down the path of weak and ineffective Border Security. Without stro\xe2\x80\xa6'
116,b'RT @realDonaldTrump: Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)\xe2\x80\xa6'
117,"b'RT @dcexaminer: Pence says President Trump has ""no higher priority than the safety of the American people."" #CPAC2019 https://t.co/fmBGjTBC\xe2\x80\xa6'"
118,"b'RT @TeamTrump: Get your OFFICIAL campaign merchandise @ https://t.co/avCW7TGIn1 or, if you\xe2\x80\x99re at @CPAC, check out our Official booth!\xe2\x80\x9d #Tea\xe2\x80\xa6'"
119,"b'Will be speaking at CPAC at 11:30 this morning. Record crowd, live broadcast. Enjoy!'"
120,"b'Very proud of perhaps the greatest golf course anywhere in the world. Also, furthers U.K. relationship! https://t.co/3xTzzJH6Iq'"
121,b'....and I did not increase their second traunch of Tariffs to 25% on March 1st. This is very important for our great farmers - and me!'
122,"b'I have asked China to immediately remove all Tariffs on our agricultural products (including beef, pork, etc.) base\xe2\x80\xa6 https://t.co/NZfSGSN9Qp'"
123,"b'....for Otto\xe2\x80\x99s mistreatment and death. Most important, Otto Warmbier will not have died in vain. Otto and his famil\xe2\x80\xa6 https://t.co/zP1ARM3hqh'"
124,"b'I never like being misinterpreted, but especially when it comes to Otto Warmbier and his great family. Remember, I\xe2\x80\xa6 https://t.co/k5uqmeIFTO'"
125,b'Michael Cohen\xe2\x80\x99s book manuscript shows that he committed perjury on a scale not seen before. He must have forgotten\xe2\x80\xa6 https://t.co/NlQQxe5zeL'
126,"b'...and the fraudulent and dishonest statements he made on Wednesday. No way, it\xe2\x80\x99s time to stop this corrupt and ill\xe2\x80\xa6 https://t.co/lxvJvaD5Hm'"
127,"b'Oh\xe2\x80\x99 I see! Now that the 2 year Russian Collusion case has fallen apart, there was no Collusion except bye Crooked H\xe2\x80\xa6 https://t.co/UcsrT1GWDR'"
128,"b'Congress must demand the transcript of Michael Cohen\xe2\x80\x99s new book, given to publishers a short time ago. Your heads w\xe2\x80\xa6 https://t.co/nS0ekOPRtq'"
129,"b'Wow, just revealed that Michael Cohen wrote a \xe2\x80\x9clove letter to Trump\xe2\x80\x9d manuscript for a new book that he was pushing.\xe2\x80\xa6 https://t.co/DWBFZRo2Oz'"
130,"b'Great to be back from Vietnam, an amazing place. We had very substantive negotiations with Kim Jong Un - we know wh\xe2\x80\xa6 https://t.co/z7WMMxba7m'"
131,"b'Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint\xe2\x80\xa6 https://t.co/jKQrrvv3la'"
132,b'https://t.co/ywNk8EhOh0'
133,b'https://t.co/hUK9dSBM3M'
134,b'I will be interviewed by @seanhannity at 9:00 P.M. on @FoxNews. Enjoy!'
135,b'Everyone MUST watch the opening to @TuckerCarlson - A Classic! @foxnews'
136,"b'THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people\xe2\x80\xa6 https://t.co/dYi5WHA50b'"
137,"b'RT @StateDept: President @realDonaldTrump and @SecPompeo participate in a Press Conference in Hanoi, Vietnam, on February 28, 2019. https:/\xe2\x80\xa6'"
138,b'RT @realDonaldTrump: Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just disba\xe2\x80\xa6'
139,"b'Great meeting and dinner with Kim Jong Un in Hanoi, Vietnam tonight. Looking forward to continuing our discussions\xe2\x80\xa6 https://t.co/T2ocOyyYtI'"
